E0 filtered data,E0 baseline data,E0 touch threshold,E0 release threshold,E1 filtered data,E1 baseline data,E1 touch threshold,E1 release threshold,E2 filtered data,E2 baseline data,E2 touch threshold,E2 release threshold,E3 filtered data,E3 baseline data,E3 touch threshold,E3 release threshold,E4 filtered data,E4 baseline data,E4 touch threshold,E4 release threshold,E5 filtered data,E5 baseline data,E5 touch threshold,E5 release threshold,E6 filtered data,E6 baseline data,E6 touch threshold,E6 release threshold,E7 filtered data,E7 baseline data,E7 touch threshold,E7 release threshold,E8 filtered data,E8 baseline data,E8 touch threshold,E8 release threshold,E9 filtered data,E9 baseline data,E9 touch threshold,E9 release threshold,E10 filtered data,E10 baseline data,E10 touch threshold,E10 release threshold,E11 filtered data,E11 baseline data,E11 touch threshold,E11 release threshold
236,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,771,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
237,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,772,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
236,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,771,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
236,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,772,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
236,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,772,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
236,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,771,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
237,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,771,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
237,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,771,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
237,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,771,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
237,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,771,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
238,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,772,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,770,768,728,748
238,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,771,768,728,748,738,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
240,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,771,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
247,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,772,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,770,768,728,748
248,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,771,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
250,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,771,768,728,748,738,736,696,716,744,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
250,220,216,218,758,756,716,736,791,788,768,778,799,796,756,776,775,772,732,752,782,780,740,760,771,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
250,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,771,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
251,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,771,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
250,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,772,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,770,768,728,748
251,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,771,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
250,220,216,218,758,756,716,736,791,788,768,778,798,796,756,776,775,772,732,752,782,780,740,760,771,768,728,748,739,736,696,716,745,744,704,724,745,744,704,724,748,748,708,728,769,768,728,748
